317,'IDUVAR',1,F,'u_var','-',                  'Total U-velocity Variance'
318,'IDUEOF',1,F,'u_eof','-',                  'Total U-velocity EOF'
319,'IDUERR',1,F,'u_err','-',                  'Total U-velocity Error'
320,'IDUPES',1,F,'u_es','-',                   'Total U-velocity Error Subspace'
321,'IDVAVG',1,F,'v_mean','-',                 'Total V-velocity (m/s) Mean'
322,'IDVVAR',1,F,'v_var','-',                  'Total V-velocity Variance'
323,'IDVEOF',1,F,'v_eof','-',                  'Total V-velocity EOF'
324,'IDVERR',1,F,'v_err','-',                  'Total V-velocity Error'
325,'IDVPES',1,F,'v_es','-',                   'Total V-velocity Error Subspace'
326,'IDDYHM',1,F,'dynht_mean','-',             'Dynamic Height (dyn m) Mean'
327,'IDDYHE',1,T,'dynht_err','-',              'Dynamic Height Error'
328,'IDSSTM',1,T,'SST_mean','-',               'Sea Surface Temperature (C) Mean'
329,'IDSSTV',1,T,'SST_var','-',                'Sea Surface Temperature (C2) Variance'
330,'IDSSTE',1,T,'SSH_err','-',                'Sea Surface Temperature Error'
331,'IDSSSM',1,T,'SSS_mean','-',               'Sea Surface Salinity (PSU) Mean'
332,'IDSSSV',1,T,'SSS_var','-',                'Sea Surface Salinity (PSU2) Variance'
333,'IDSSSE',1,T,'SSS_err','-',                'Sea Surface Salinity Error'
334,'IDSSHM',1,T,'SSH_mean','-',               'Sea Surface Height (m) Mean'
335,'IDSSHV',1,T,'SSH_var','-',                'Sea Surface Height (m2) Variance'
336,'IDSSHE',1,T,'SSH_err','-',                'Sea Surface Height Error'
337,'IDSUSM',1,T,'sustr_mean','-',             'U-wind Stress (Pa) Mean'
338,'IDSUSE',1,T,'sustr_err','-',              'U-wind Stress Error'
339,'IDSVSM',1,T,'svstr_mean','-',             'V-Wind Stress (Pa) Mean'
340,'IDSVSE',1,T,'svstr_err','-',              'V-Wind Stress Error'
341,'IDSUWM',1,T,'uwind_mean','-',             'Surface U-Wind (m/s) Mean'
342,'IDSUWE',1,T,'uwind_err','-',              'Surface U-Wind Error'
343,'IDSVWM',1,T,'vwind_mean','-',             'Surface V-Wind (m/s) Mean'
344,'IDSVWE',1,T,'vwind_err','-',              'Surface V-Wind Error'
345,'IDRHUM',1,T,'humidity_mean','-',          'Relative Humidity (%) Mean'
346,'IDRHUE',1,T,'humidity_err','-',           'Relative Humidity Error'
347,'IDCFRM',1,T,'cloud_mean','-',             'Cloud Fraction (%) Mean'
348,'IDCFRE',1,T,'cloud_err','-',              'Cloud Fraction Error'
349,'IDSAPM',1,T,'Pair_mean','-',              'Surface Air Pressure (Pa) Mean'
350,'IDSAPE',1,T,'Pair_err','-',               'Surface Air Pressure Error'
351,'IDTAIM',1,T,'Tair_mean','-',              'Surface Air Temperature (K) Mean'
352,'IDTAIE',1,T,'Tair_err','-',               'Surface Air Temperature Error'
353,'IDTDPM',1,T,'Tdew_mean','-',              'Surface Dew-Point Temperature (K) Mean'
354,'IDTDPE',1,T,'Tdew_err','-',               'Surface Dew-Point Temperature Error'
355,'IDTDPM',1,T,'Tdew_mean','-',              'Surface Dew-Point Temperature (K) Mean'
356,'IDTDPE',1,T,'Tdew_err','-',               'Surface Dew-Point Temperature Error'
357,'IDSSTM',1,T,'SST_mean','-',               'Sea Surface Temperature (C) Mean'
358,'IDSSTE',1,T,'SST_err','-',                'Sea Surface Temperature Error'
359,'IDQDTM',1,T,'dQdSST_mean','-',            'dQdT (Watts/m2/Celsius) Mean'
360,'IDQDTE',1,T,'dQdSST_err','-',             'dQdT Error'
361,'IDSHFM',1,T,'shflux_mean','-',            'Surface Net Heat Flux (W/m2) Mean'
362,'IDSHFE',1,T,'shflux_err','-',             'Surface Net Heat Flux Error'
363,'IDSWRM',1,T,'swrad_mean','-',             'Shortwave Radiation Flux (W/m2) Mean'
364,'IDSWRE',1,T,'swrad_err','-',              'Shortwave Radiation Flux Error'
365,'IDLWRM',1,T,'slrad_mean','-',             'Longwave Radiation Flux (W/m2) Mean'
366,'IDLWRE',1,T,'slrad_err','-',              'Longwave Radiation Flux Error'
367,'IDSFFM',1,T,'swflux_mean','-',            'Surface Freshwater Flux (m/day) Mean'
368,'IDSFFE',1,T,'swflux_err','-',             'Surface Freshwater Flux Error'
369,'IDRSUM',1,T,'Usur_mean','-',              'RADAR Surface U-velocity Mean (cm/s)' 
370,'IDRSVM',1,T,'Vsur_mean','-',              'RADAR Surface V-velocity Mean (cm/s)'
371,'IDRSMV',2,T,'Usur_mean','Vsur_mean',      'RADAR Surface Mean Velocity Vectors (cm/s)'
372,'IDRSMM',2,T,'Usur_mean','Vsur_mean',      'RADAR Surface Mean Velocity Magnitude (cm/s)'
373,'IDRSMS',2,T,'Usur_mean','Vsur_mean',      'RADAR Surface Mean Velocity Streamlines'
374,'IDRSMB',2,T,'Usur_mean','Vsur_mean',      'RADAR Surface Mean Velocity Barbs'
